Sr. No.,Machine,Material Description,Make,Qty used,Remark,Item Code,Available Stock in SAP as on 28.11.2022,On Order Stock as on 28.11.22,Remark,Order status
224,Shuttle Car,DRIVE SHAFT DIA 42 X 465 LG,Praja,1,Shuttle Car,16015,1,1,,
225,Shuttle Car,TAKE UP SHAFT DIA 42 X 300 LG,Praja,1,Shuttle Car,16016,1,1,,
226,Shuttle Car,GUIDE ROLLER ASSEMBLY,Praja,1,Shuttle Car,16017,1,1,,
227,Shuttle Car,PUSHER DOG FOR TRANSFER CAR,Praja,1,Shuttle Car,13617,0,0,,
228,Transfer Trolley Car,6SL3224-0BE13-7UA0 SINAMICS G120 PM240,Siemens,1,Transfer Trolley Car VFD Power Module ,13484,2,2,,
229,Transfer Trolley Car,6SL32440BB001BAI CONTROL UNIT CU240,Siemens,1,Transfer Trolley Car VFD Control Unit,11804,1,1,,
230,Transfer Trolley Car,DSBC 100-1050 PPVA N3 CYLINDER  1463520,FESTO,1,Empty Trolley Pusher cylinder ,15114,1,1,,
231,Plate Number Puching ,"PIN IMPACT 150SA 45DEG, 41675-TMP3200",Telesis,1,For HD Line not use in LMD ,11201,0,0,,
232,Plate Number Puching ,"Belt set for X & Y axis, TMP-3200",Telesis,1,,14619,1,1,,
233,Plate Number Puching ,Board assembly for TMP-3200,Telesis,1,,14617,1,1,,
234,Plate Number Puching ,Steeper motor X axis for TMP-3200,Telesis,1,,11411,1,1,09.09.2021,
235,Plate Number Puching ,Steeper motor Y axis for TMP-3200,Telesis,1,,11412,1,1,,
236,Plate Number Puching ,Controller TMC420,Telesis,1,,10510,0,0,,
237,Plate Number Puching ,MARKER CABLE ASSY. 16M FOR TMP3200,Telesis,1,,4080,0,0,,
238,Plate Number Puching ,TELESIS SOLENOID VALVE TMP 3200,Telesis,1,,10203,1,1,,
239,Plate Number Puching ,POWER SUPPLY CARD FDR0300123 TELESIS 420,Telesis,2,,12036,2,2,,
240,Plate Number Puching ,KEY BOARD TELESIS 420 MARKING,Telesis,1,,10117,2,2,,
241,Plate Number Puching ,PIN CARTRIDGE TMP 3200,Telesis,1,For HD Line not use in LMD ,10118,2,2,,
242,Plate Number Puching ,X-Y SENSOR TMC 420,Telesis,1,,10119,0,0,,
243,Plate Number Puching ,"TELESIS PIN 25 C (PIN, IMPACT, 25L, CARBIDE, 45 Deg)",Telesis,1,For LMD Line,10202,0,0,"TELESIS PIN 25 S (PIN, IMPACT, CARBIDE, 45 Deg) Details on Pin 36513, 57895-0721",
244,Plate Number Puching ,BATTERY FOR TMC 420,Telesis,1,,10595,2,2,,
245,Plate Number Puching ,X-AXIS BELT 160 FOR TMP 3200,Telesis,1,,5421,1,1,09.09.2021,
246,Plate Number Puching ,Y-AXIS BELT 190 FOR TMP 3200,Telesis,1,,5428,2,2,,
247,Plate Number Puching ,SENSOR FOR X AXIS FOR TMP 3200,Telesis,1,,10482,1,1,,
248,Plate Number Puching ,SENSOR FOR Y AXIS FOR TMP3200,Telesis,1,,10483,2,2,09.09.2021,
249,Plate Number Puching ,KEYPAD PCB FOR TMC 420 CONTROLLER,Telesis,1,,16683,0,0,,
250,Plate Number Puching ,POWER ENTRY MODULE FOR TMC420 CONTROLLER,Telesis,1,,16684,0,0,,
251,Plate Number Puching ,EXTENSION CABLE 10M FOR TMP3200 LAPP,Telesis,1,,16685,1,0,,
252,Plate Number Puching ,TMC 470 CONTROLLER,Telesis,1,,18770,1,0,,
253,Plate Number Puching ,CARTRIDGE 25 L FOR TMP 3200 HEAD,Telesis,1,,18771,0,0,,
254,Frame Number Punching,Stylus pin L60 deep marking,SIC,2,,14507,2,0,,
255,Frame Number Punching,Stylus spring for L60 deep marking,SIC,2,,14509,11,0,,
256,Frame Number Punching,Stylus guide for L60 deep marking,SIC,2,,14508,2,0,,
257,Frame Number Punching,4100399 SOLENOID ASSEMBLY DEEP MARKING,SIC,2,P123,14510,1,0,,
258,Frame Number Punching,3100106 ROBOTIC CABLE 10 M FOR P62/P122,SIC,2,For P122 Marking Head,6396,1,0,,
259,Frame Number Punching,2230098 P122 MECHANICAL SESOR For Frame Punching MC ,SIC,4,,10959,2,0,,
260,Frame Number Punching,2230099 P122 MECHANICAL SESOR For Frame Punching MC ,SIC,4,,10960,0,0,,
261,Frame Number Punching,3200003 SOLENOID ASSEMBLY,SIC,2,,10750,0,0,,
262,Frame Number Punching,3100007-X AXIS MOTOR,SIC,2,,5947,1,0,,
263,Frame Number Punching,2230003 Y-AXIS MOTOR,SIC,2,P120 (X & Y axis motor common),10259,0,1,,
264,Frame Number Punching,2120003 P120 screw pully,SIC,1,,10964,1,0,,
265,Frame Number Punching,2120002 BELT - P120,SIC,1,,13780,1,0,,
266,Frame Number Punching,2120005 MOTOR GEAR,SIC,1,"P122, P120",6272,0,0,,
267,Frame Number Punching,2120001 LEADING SCREW,SIC,1,,14330,0,0,,
268,Frame Number Punching,3100013 WIRED START SWITCH EP 7,SIC,3,,10968,3,0,,
269,Frame Number Punching,4300314 STYLUS ASSEMBLY L60 90 DEG SHARP,SIC,1,P122 Marking Head,10256,0,0,,
270,Frame Number Punching,1110001 SCREW SUPPORT PLATE P120,SIC,1,,14479,0,0,,
271,Frame Number Punching,1120002 GEAR SECTION PART P-120,SIC,1,,14480,1,0,,
272,Frame Number Punching,1120284 CORE E9DP62/E9DP122/P-123 DEEP,SIC,1,,15155,1,0,,
273,Frame Number Punching,2230095 Female Connector 8way -P122,SIC,2,,10965,3,0,,
274,Frame Number Punching,2230097 Female Connector 6way -P122,SIC,4,,10966,0,0,,
275,Frame Number Punching,2210026 6 WAYS CONNECTION F MODULE SUPPORT P122,SIC,4,,11478,4,0,,
276,Frame Number Punching,2230096 8 WAYS CONNECTOR MALE -P122,SIC,4,,11479,3,0,,
277,Frame Number Punching,E10 - CONTROLLER,SIC,2,E10 Controller,15163,1,0,,
278,Frame Number Punching,1120024 STYLUS GUIDE  100 MM,SIC,2,P123,16979,0,0,,
279,Frame Number Punching,1120014 STYLUS - Stylus pin,SIC,4,P123 Solenoid coil front side piece,10961,3,0,,
280,Frame Number Punching,2120006 STYLUS SPRING,SIC,4,Spring,10257,13,0,,
281,Frame Number Punching,DNC-40-100-PPV CYLINDER FESTO,FESTO,4,Fixture pneumatic cylinder,7800,0,0,,
282,Frame Number Punching,4100406 SOLENOID ASSEMBLY FOR E6/E8,SIC,3,Solenoid Assy,14377,1,0,,
283,Frame Number Punching,LM GUIDE RAIL FOR P122,SIC,2,,16980,1,0,,
284,Frame Number Punching,GUIDE RAIL BLOCK P122 MGW-12-HIWIN,SIC,2,,16981,1,0,,
285,Frame Number Punching,2230199 MOTOR 42x42,SIC,2,P123,16982,1,0,,
286,Frame Number Punching,2230089 MOTOR 42x42 LG33 2ALA16F70 CAB,SIC,2,P122,16983,1,0,,
287,Frame Number Punching,1120253 Y MOTOR GEAR,SIC,2,,16984,1,0,,
288,Frame Number Punching,3100438 LINKING CABLE 10M FOR P123,SIC,2,Controller to Marking Head Cable P123,16985,1,0,,
289,Frame Number Punching,2120307 X AXIS BELT P123,SIC,2,,16986,1,0,,
290,Frame Number Punching,P123 MARKING HEAD ASSLY,SIC,2,P123 Marking Head,16061,0,1,,
291,Diesel Machine,V-Belt A-37,,1,,4899,6,0,,
292,Diesel Machine,Diaphragm Pump Repair Kit D07001,,1,,12909,2,0,,
293,Grease Pump,140401390 HOSE ASSY.GREASE 10M,ELGI,1,,2398,1,1,1 one order 28/11/22,
294,Grease Pump,130401350 GREASE HOSE 7.5 MTRS AH4,ELGI,1,,15111,0,0,,
295,Grease Pump,Grease gun (X130014 GREASE GUN ASSY. AH4),ELGI,1,Grease Gun,1055,0,5,,
296,Grease Pump,130400870  MOUTH PIECE ASSY.GREASE,ELGI,1,Grease Gun Mouth Piece,1409,16,30,,
297,Grease Pump,"200325 COUPLER, HYDRAULIC MOUTH PIECE",PATVIN,4,Grease Gun Mouth Piece,18150,30,0,,
298,Grease Pump,Cylinder,ELGI,4,,,,3,,
299,Grease Pump,K1302G1T GREASE PISTON AH4 TUNE UP KIT,ELGI,1,,2461,3,0,,
300,Grease Pump,130526440 NIPPLE TURNING,ELGI,1,,2425,5,0,,
301,Grease Pump,130526450 LOCKING NUT,ELGI,1,,2427,10,0,,
302,Grease Pump,130526150  SEAL CUP,ELGI,1,,6976,6,0,,
303,Grease Pump,130526240 PISTON PACKING RING,ELGI,1,,1441,39,0,,
304,Grease Pump,130526610 CUP WASHER 30101-02-02,ELGI,1,,6390,9,0,,
305,Grease Pump,130525580 TOW ROD ASSY. 10530-11.12,ELGI,1,,7497,2,0,,
306,Grease Pump,130526460 BAND PIPE 106-02A,ELGI,1,,6975,2,0,,
307,Grease Pump,130462520 FILTER AH4,ELGI,1,,14185,37,0,,
308,Grease Pump,130525820 O-RING AH4,ELGI,1,,14186,2,0,,
309,Grease Pump,130525870 O-RING AH4,ELGI,1,,14187,3,0,,
310,Grease Pump,130449240 AIR PISTON,ELGI,1,,1714,4,0,,
311,Grease Pump,130525580 TOW ROD ASSY. 10530-11.12,ELGI,1,,7497,2,0,,
312,Grease Pump,GREASE PUMP ELGI MAKE AH4-200,ELGI,1,Grease Pump,1731,2,0,,
313,Grease Pump,K1301G1T GREASE PUMP AH4 TUNE UP KIT,ELGI,1,,2462,2,0,,
314,Grease Pump,DSBC 32-1000 PPVA N3 CYLINDER  1463254,FESTO,1,,15113,1,0,,
315,Grease Pump,H-5-1/4-B  5/2 WAY HAND LEVER VALVE,FESTO,2,Grease system,9255,1,0,,
316,Grease Pump,DSBC 100-1050 PPVA N3 CYLINDER  1463520,FESTO,2,,15114,1,0,,
317,Grease Pump,GREASE PUMP ELGI MAKE AH4-200,ELGI,3,,1731,2,0,,
318,Oil Pump,"GOVERNING CONTROL ASSY, SA130002",ELGI,1,,1392,0,0,,
319,Oil Pump,"SLINDER SEATING PLATE, 130460961",ELGI,1,,12668,4,0,,
320,Oil Pump,"TOW ROD ASSY 10530-11-12, 130525580",ELGI,1,,7497,2,0,,
321,Oil Pump,"JAW CONTROL 10530-11-17/1, 130461041",ELGI,1,,1391,3,0,,
322,Oil Pump,"PACKING, 130460950",ELGI,1,,12667,2,0,,
323,Oil Pump,"LOCKING PIN 10530-11-05, 130449180",ELGI,1,,,,,,
324,Oil Pump,"FOLLOWER 10530-11-21, 130449200",ELGI,1,,4833,6,0,,
325,Oil Pump,"SPRING, 130467020",ELGI,1,,2459,5,0,,
326,Oil Pump,"O RING AH4, 130525820",ELGI,1,,14186,2,0,,
327,Oil Pump,"O RING AH4, 130525870",ELGI,1,,14187,3,0,,
328,Oil Pump,"OIL SEAL 10530-11-41, 130525890",ELGI,1,,1717,5,0,,
329,Oil Pump,"O RING, 130526550",ELGI,1,,4243,5,0,,
330,Oil Pump,"SEAL OIL, 130450110",ELGI,1,,1401,4,0,,
331,Oil Pump,"CUP WASHER(30101-02-02), 130526610",ELGI,1,,6390,9,0,,
332,Oil Pump,"FILTER, 130526700",ELGI,1,,4834,2,0,,
333,Oil Pump,"CLIP SPRING, 130526710",ELGI,1,,2376,6,0,,
334,Oil Pump,"O RING, 130526570",ELGI,1,,1403,3,0,,
335,Oil Pump,OIL TRANSFER PUMP 200L DRUM ELGI MAKE ,ELGI,1,Oil Pump,7499,0,0,,
336,Oil Pump,130525540 LOCK SPRING AH4,ELGI,1,,15225,5,0,,
337,Oil Pump,130431030 O RING OS6 AH4,ELGI,1,,15230,10,0,,
338,Oil Pump,130467030 SPRING SEAT OIL PUMP,ELGI,1,,15231,2,0,,
339,Oil Pump,130525810 O RING AH4,ELGI,1,,15232,5,0,,
340,Oil Pump,130525850 O RING AH4,ELGI,2,,15234,5,0,,
341,Oil Pump,130439550 O RING,ELGI,2,,15235,4,0,,
342,Oil Pump,130526690 O RING,ELGI,2,,15236,4,0,,
343,Oil Pump,130526740 O RING,ELGI,2,,15237,1,0,,
344,Oil Pump,130526750 WASHER COPPER,ELGI,2,,15238,5,0,,
345,Oil Pump,130526680 O RING,ELGI,2,,15239,3,0,,
346,Oil Pump,"130515400 QUICK COUPLER 1/4""",ELGI,2,,15255,2,0,,
347,Oil Pump,13045019A PIPE ASSY RISER,ELGI,2,,15257,1,0,,
348,Oil Pump,130450100 PLUNGER,ELGI,2,,15256,1,0,,
349,Oil Pump,SA130003 PRESSURE REDUCING VALVE ASSY,ELGI,2,,15258,0,0,,
350,Oil Pump,10530-11-05/1 LOCKING PIN 3DX15,ELGI,2,,1706,7,0,,
351,FAAC Boom Barrier,CAPACITOR 8MFD FOR FAAC 615 STD BOOM BAR,FAAC,2,,15356,0,0,,
352,FAAC Boom Barrier,HYDRAULIC OIL FOR FAAC 615 STD BOOM BARR,FAAC,2,,15354,2,0,,
353,FAAC Boom Barrier,PISTON FOR FAAC 615 STD BOOM BARRIER,FAAC,2,,15357,0,1,,
354,FAAC Boom Barrier,PUMP FOR FAAC 615 STD BOOM BARRIER,FAAC,2,,15353,1,0,,
355,FAAC Boom Barrier,ROUND BOOM 4 MTR. FOR FAAC 615 STD,FAAC,2,,15355,1,0,,
356,FAAC Boom Barrier,SPRING 4 MTR. FOR FAAC 615 STD BOOM BARR,FAAC,2,,15358,0,0,,
357,FAAC Boom Barrier,FAAC CONTROL CARD 615 MODEL BOOM BARRIER,FAAC,2,,13548,1,0,,
358,Dalmec Manipulator,"QUICK EXHAUST 1/8""F 20.28.0034",Dalmec,2,,11062,7,0,,
359,Dalmec Manipulator,LONG ROTARY LEVER SELECTOR 00.79.0208,Dalmec,2,,11068,0,4,,
360,Dalmec Manipulator,"5/3 WAY LEVER VALVE C/CLOSED 1/8"" G 00.79.0099",Dalmec,2,,11066,2,0,,
361,Dalmec Manipulator,FLOW REGULATOR 00.79.0161  FITTING D8,Dalmec,2,,12586,2,0,,
362,Dalmec Manipulator,"PNEU. RELAY 1/2"" G00.34.160, 00.79.0123",Dalmec,2,,12583,1,0,,
363,Dalmec Manipulator,00.79.0460 BASE D4+MONOSTABLE VALVE,Dalmec,2,,15618,3,0,,
364,Dalmec Manipulator,00.79.0191 RED PUSH BUTTON 20200062 D=22,Dalmec,2,,12028,1,2,,
365,Dalmec Manipulator,"GAS NON RETURN VALVE 3/8"" 00.79.0086",Dalmec,2,,12585,1,0,,
366,Dalmec Manipulator,GASKET SET FOR 4 WAY D50 SWIVEL 65.04.0028,Dalmec,2,,11065,2,0,,
367,Dalmec Manipulator,ONE DIRECTION STOP VALVE 1/8 D=4 20.22.0133,Dalmec,2,Clamping cylinder NRV,15536,3,0,,
368,Dalmec Manipulator,00.79.0228 3 POSITIONS LEVER JOYSTICK,Dalmec,2,,12029,1,0,,
369,Dalmec Manipulator,VALVE CLOSED CENTRES D8 00.79.0134,Dalmec,2,,12587,3,0,,
370,Dalmec Manipulator,00.79.0190 BLACK PUSH BUTTON 20200057D22,Dalmec,2,,12027,2,2,,
371,Dalmec Manipulator,"IMPULSE PREFERENTIAL VALVE D4, 00.79.0461",Dalmec,2,,11067,1,0,,
372,Dalmec Manipulator,3/2 WAY VALVE D-4 N/CLOSED 00.79.0219,Dalmec,2,,11064,0,0,,
373,Dalmec Manipulator,5/2 WAY D-4 PANEL MOUNTED VALVE 00.79.0221,Dalmec,2,,11069,0,2,2 nos on order 28/11/22,00.79.0218 & 00.79.0215 Both Included in 11069 Item code part
374,Dalmec Manipulator,INT REGULATOR WITH RELEAVING 1/4 00.79.0272,Dalmec,2,,12584,0,0,,00.79.0484 this no mention on Dalmec part polythene sticker
375,Dalmec Manipulator,5/3 WAY D-4 PANEL MOUNTED VALVE 00.79.0222,Dalmec,2,,11063,0,0,,
376,Dalmec Manipulator,8431056362 AIR MOTOR LZB54-AR001-11,Dalmec (Atlas Copco),2,Tyre rotation motor,15454,1,0,,
377,Dalmec Manipulator,INSERTION VALVE D4 00.79.0126,Dalmec,2,,11061,0,0,,
378,Dalmec Manipulator,GREEN OPTICAL INDITOR PXV D=22 20.18.006,Dalmec,2,,14643,2,0,,
379,Dalmec Manipulator,00.08.0461 CYLINDRO INOX CIANF- D32 H600,Dalmec,4,Tyre clamping cyl,16925,2,0,,
380,Dalmec Manipulator,00.08.0250 CYLINDER D40 H10  CSR 40-10,Dalmec,4,,16924,2,0,,
381,Dalmec Manipulator,00.79.0033 ONE DIRECTION SAFETY VALVE SU,Dalmec,,,19457,2,0,,
382,Dalmec Manipulator,00.79.0160 1/1/1 WAY SELECTOR OR 1/2-3/8,Dalmec,,,19458,2,0,,
383,Dalmec Manipulator,00.79.0175 LOGIC VALVE D4 OR,Dalmec,,,19459,2,0,,
384,Dalmec Manipulator,00.79.0176 LOGIC VALVE D4 AND,Dalmec,,,19460,3,0,,
385,Dalmec Manipulator,20.28.0112 LOGIC ELEMENT NOT 20.28.0085,Dalmec,,,19461,4,0,,
386,Dalmec Manipulator,"00.79.0098 PRESSURE REGULATOR 1/4"" G",Dalmec,,,19462,2,0,,
387,Dalmec Manipulator,00.92.0544 BRAKE PAD D30 H15,Dalmec,,,19463,2,0,,
388,Dalmec Manipulator,00.92.6422 BRAKE PAD FERODO 1 HOLE,Dalmec,,,19464,8,0,,
389,Dalmec Manipulator,00.92.0203 BRAKE PAD D40 H13,Dalmec,,,19465,2,0,,
390,Dalmec Manipulator,20.25.0092 PU TUBE OD 4 TH 0.75 BLUE,Dalmec,50,,19466,0,0,,
391,Dalmec Manipulator,20.25.0093 PU TUBE OD 4 TH 0.75 BLACK,Dalmec,50,,19467,0,0,,
392,Dalmec Manipulator,65.04.0010 GASKET SET FOR CYLINDER D178,Dalmec,,,19468,2,0,,
393,Dalmec Manipulator,"20.17.0024 SILENCER 3/8"" M MODEL AN",Dalmec,,,19469,6,0,,
394,Dalmec Manipulator,20.25.0096 PU TUBE OD 8 TH 1.5 BLUE,Dalmec,50,,19470,0,0,,
395,Dalmec Manipulator,20.25.0097 PU TUBE OD 8 TH 1.5 BLACK,Dalmec,50,,19471,0,0,,
396,Dalmec Manipulator,20.25.0098 PU TUBE OD 12 TH 2 BLUE,Dalmec,50,,19472,0,0,,
397,Dalmec Manipulator,20.25.0099 PU TUBE OD 12 TH 2 BLACK,Dalmec,50,,19473,0,0,,
398,Dalmec Manipulator,LM GUIDE BEARING HGW25CC ZOC,HGW25CC ZOC,8,LM Block for Up/Down Rail,13557,1,0,,
399,Dalmec Manipulator,DS275HC61 1/4-5/3HAND LEVER SP CEN VALVE,Janatics,2,Up/Down Joy Stick Lever,18279,2,7,7 nos on order,
400,Cabtrim Barcode Tap,5324076 SICK BARCODE TAPE MB=140-160MTR,SICK,1,,14732,0,0,,
401,Cabtrim Barcode Tap,5324077 SICK BARCODE TAPE MB=160-180MTR,SICK,1,,14733,0,0,,
402,Cabtrim Barcode Tap,5324078 SICK BARCODE TAPE MB=180-200MTR,SICK,1,,14734,0,0,,
403,Cabtrim Barcode Tap,5324075 SICK BARCODE TAPE MB=120-140MTR,SICK,1,,14731,1,0,,
404,Cabtrim Barcode Tap,BARCODE TAPE 5324080,SICK,1,,14535,1,0,,
405,Cabtrim Barcode Tap,5324071 SICK BARCODE TAPE MB=40TO60MTR,SICK,1,,14726,0,0,,
406,Cabtrim Barcode Tap,5324073 SICK BARCODE TAPE MB=80TO100MTR,SICK,1,,14729,1,0,,
407,Cabtrim Barcode Tap,5324072 SICK BARCODE TAPE MB=60TO80MTR,SICK,1,,14728,0,0,,
408,Cabtrim Barcode Tap,5324069 SICK BARCODE TAPE,SICK,1,,12326,0,0,,
409,Cabtrim Barcode Tap,5324079 SICK BARCODE TAPE MB=200-220MTR,SICK,1,,14735,1,0,,
410,Cabtrim Barcode Tap,5324074 SICK BARCODE TAPE MB=100-120MTR,SICK,1,,14730,0,0,,
411,Cabtrim Barcode Tap,5324070 SICK BARCODE TAPE MB=20TO40MTR,SICK,1,,14725,0,0,,
412,Norfi,24-4160-150 SAFETY COUPLING FOR HOSE 150,Norfi,,,101324,20,0,,
413,Norfi,00-6060-142 BOWDEN WIRE MANTLE 1420 MM,Norfi,,,11347,5,0,,
414,Norfi,"22-145-200 BOWDENWIRE, LENGTH 2000 MM",Norfi,,,101183,5,0,,
415,Norfi,24-4146-055 HOSE RELIEVING ROPE CPL,Norfi,,,101325,15,0,,
416,Norfi,24-4146-025 HOSE RELIEVING ROPE CPL.,Norfi,,,101326,15,0,,
417,Norfi,24-156-150 HOSE CLAMP DIA 140-160 MM,Norfi,,,101320,8,0,,
418,Norfi,30-4142-150 SUCTION TROLLEY AUTOMATIC,Norfi,,,12418,0,0,,
419,Norfi,26-4934-157 EXHAUST GAS NOZZLE FOR TRUCK,Norfi,,,101185,14,0,,
420,Norfi,32-4140-004 BALL BEARED WHEEL,Norfi,,,101182,18,0,,
421,Norfi,20-967-150 EXHAUST GAS HOSE TYPE NR CP,Norfi,,,101179,22,0,,
422,Norfi,26-4934-157 EXHAUST GAS NOZZLE FOR TRUCK,Norfi,,Mouth Piece,101185,14,0,,
423,Norfi,24-4155-150 HOSE SUSPENSION DIA 150 CPL,Norfi,,,101322,5,0,,
424,Norfi,37-250-127 ROPE FOR HOSE HOIST,Norfi,,,101180,0,0,,
425,Norfi,"22-145-400 BOWDENWIRE, LENGTH 4000 MM",Norfi,,,101323,5,0,,
426,Norfi,24-158-150 PROTECTION RUBBER FOR HOSE CL,Norfi,,,101321,5,0,,
427,Norfi,37-260-013 CURRENT COLLECTOR 40/100,Norfi,,"Current collector same as ATS EMS Cabtrim line, but not required bcs Norfi not move in Auto Mode",101318,0,0,,
428,Norfi,37-250-224 FRICTION WHEEL FOR DRIVE UNIT,Norfi,,"Current collector same as ATS EMS Cabtrim line, but not required bcs Norfi not move in Auto Mode",101319,4,0,,
429,Norfi,37-250-175 CIRCUIT BOARD,Norfi,,,101327,2,0,,
430,Norfi,37-4250-181 SPINDLE LIMIT SWITCH,Norfi,,,101328,3,0,,
431,Norfi,00-6060-420 BOWDEN WIRE MANTLE 4200MM,Norfi,,,11346,7,0,,
432,Norfi,24-4160-005 SAFETY COUPLING COMPLETE,Norfi,,,11348,7,0,,
433,Norfi,12-110-016 SEALING LIP / NEOPRENE,Norfi,,,12406,59,0,,
434,Norfi,12-010-006 RETAINING STRIP LENGTH 1 M,Norfi,,,12407,4,0,,
435,Urea Filling Machine,F0020309 DIAPHRAGM PUMP 230V/50Hz WITH C,,1,Main pump,17056,0,0,,
436,Urea Filling Machine,F00617510 DISCHARGE NOZZLE,,2,Nozzle,17052,0,0,,
437,Urea Filling Machine,F15883000 DELIVERY HOSE EPDM 6 MTR.,,,Hose Delivery,17053,1,0,,
438,Urea Filling Machine,F00611D10 CARTRIDGE FILTER,,,Filter,17054,2,0,,
439,Urea Filling Machine,F0040721B PULSE METER K24,,,,17055,2,0,,
440,Urea Filling Machine,R16203900A NOZZLE HOLDER,,,,17057,3,0,,
441,Urea Filling Machine,R17111000 SWITCH FOR NOZZLE BOOT WITH CA,,,,17058,2,0,,
442,Urea Filling Machine,R20240000 PANN S.SERVICE MC230V/56-60Hz,,,,17059,2,0,,
443,Robot Kuka Glass Gluing ,"Accumulator batteryCP1250H
12V/5,0/5,2Ah
115723",Kuka,2,Required,13678,25,0,,
444,Robot Kuka Glass Gluing ,"KR C4 Standard SIB
186834",Kuka,1,Required,,,,,
445,Robot Kuka Glass Gluing ,"27V IP54 supply
169213",Kuka,1,,15059,1,0,,
446,Robot Kuka Glass Gluing ,"Electronic Data Storage EDS
172903",Kuka,1,,15051,3,0,,
447,Robot Kuka Glass Gluing ,"Fan DC 190mm
171602",Kuka,1,,15049,3,0,,
448,Robot Kuka Glass Gluing ,"CCU complete KRC4 & KRC4Ext
235627",Kuka,1,"In Qtn Sr No 06 (11,12,13,14 included)",14601,2,0,,
449,Robot Kuka Glass Gluing ,"KPP 600-20 1x40 UL
198260",Kuka,1,,12149,1,1,,
450,Robot Kuka Glass Gluing ,"KSP 600 3x20 UL
198266",Kuka,1,,12355,1,0,,
451,Robot Kuka Glass Gluing ,"KSP 600 3x40 UL
198268",Kuka,1,,12152,2,0,,
452,Robot Kuka Glass Gluing ,"DC-radial fan 24V, Pabst
250623",Kuka,1,Required,,,,,
453,Robot Kuka Glass Gluing ,"KPC MC - SSD assy
195245",Kuka,1,,,,,,
454,Robot Kuka Glass Gluing ,"CPU fan 4412/2HP-570
212626",Kuka,1,,,,,,
455,Robot Kuka Glass Gluing ,"Mainboard FTS D3445-K
271601",Kuka,1,,,,,,
456,Robot Kuka Glass Gluing ,"Memory 2GB, DDR4
285803",Kuka,1,,,,,,
457,Robot Kuka Glass Gluing ,"EtherCAT coupler EK1100
IN10000",Kuka,1,Required,14594,3,0,,
458,Robot Kuka Glass Gluing ,"Buscouppler EtherCAT - DN-SL EL6752-0010
IN10001",Kuka,1,Required,,,,,
459,Robot Kuka Glass Gluing ,"Resolver Digital Converter RDC
246872",Kuka,1,Required,14994,2,0,,
460,Robot Kuka Glass Gluing ,"SPP AC servomotor I2/1FK7101
192295",Kuka,1,Need to be Discussed,,,,,
461,Robot Kuka Glass Gluing ,"SPP AC servomotor D01/1FK7063
192297",Kuka,1,,,,,,
462,Robot Kuka Glass Gluing ,"KUKA Recovery USB Stick 3.0
250424",Kuka,1,Required,18467,1,0,,
463,Robot Kuka Glass Gluing ,"SEMD mastering set
228934",Kuka,1,Not Required,,,,,
464,Robot Kuka Glass Gluing ,SY7120-5DZ-02,SMC,2,,17311,1,0,,
465,Robot Kuka Glass Gluing ,SS5Y7-20-07,SMC,5,,,,,,
466,Robot Kuka Glass Gluing ,ISE30A-01-P-L,SMC,1,,,,,,
467,Robot Kuka Glass Gluing ,AC20-X2T522,SMC,1,,,,,,
468,Robot Kuka Glass Gluing ,AR20K-02BG1-B,SMC,1,,,,,,
469,Robot Kuka Glass Gluing ,AW40-04-B,SMC,1,,11581,0,0,,
470,Robot Kuka Glass Gluing ,CP96SDB50-150C-M9PZ,SMC,1,,,,,,
471,Robot Kuka Glass Gluing ,CP96SDB50-100+90C-M9PZ4,SMC,1,,,,,,
472,Robot Kuka Glass Gluing ,CP96SDB50-100C-M9PZ,SMC,1,,,,,,
473,Robot Kuka Glass Gluing ,"D-M9P, VZK",SMC,1,,14483,5,0,,
474,Robot Kuka Glass Gluing ,IR 1000-01 PRECISION REGULATOR,SMC,2,,,,,,
475,Robot Kuka Glass Gluing ,"N3261002, SN 1799451",DURR,1,,,,,,
476,Robot Kuka Glass Gluing ,Type - N32280012,DURR,1,,,,,,
477,Robot Kuka Glass Gluing ,PK-M-0150-XL0327,GEFRAN,1,,,,,,
478,Robot Kuka Glass Gluing ,PK-M-0250-XL0327,GEFRAN,1,,,,,,
479,Robot Kuka Glass Gluing ,CB-PN100,KEYENCE,1,,,,,,
480,Robot Kuka Glass Gluing ,CMP71M/KY/AK1H/SM1,SEW,1,,,,,,
481,Robot Kuka Glass Gluing ,"5906245, SN 1368835",SEW,1,,,,,,
482,Robot Kuka Glass Gluing ,"13324551, SN 1145504",SEW,1,,,,,,
483,Robot Kuka Glass Gluing ,PSKF122 CMP40M/KY/AK0H/SM1,SEW,1,,,,,,
484,Robot Kuka Glass Gluing ,MDX61B0040-5A3-4-0T/DEH11B/DFS21B,SEW,1,,,,,,
485,Robot Kuka Glass Gluing ,P/N 08249571,SEW,1,,,,,,
486,Robot Kuka Glass Gluing ,"MDX60A-0040-5A3-4-00, P 08227209",SEW,1,,,,,,
487,Robot Kuka Glass Gluing ,8022720,SEW,1,,,,,,
488,Robot Kuka Glass Gluing ,"HMI, 6AV7241-5BA07-0GA1",SIEMENS ,1,,,,,,
489,Robot Kuka Glass Gluing ,"PLC, 6ES7 590-1AB60-0AA0",SIEMENS ,1,,,,,,
490,Robot Kuka Glass Gluing ,NG1SM-510L024-M,TEKNIC EUCHNER,1,,,,,,
