Sr. No.,Machine,Material Description,Make,Qty used,Remark,Item Code,Available Stock in SAP as on 28.11.2022,On Order Stock as on 28.11.22,Remark,Order status
55,Brake Bleeding ,MS4-EM1-1/4-S FESTO ON OFF VALVE,,2,Festo Air Unit on Door,14811,1,1,,
56,Brake Bleeding ,MS4-LFR-1/4-D7-CRM-AS PN-529152 FLT REGU,,2,Festo Air Unit on Door,12677,1,1,,
57,Brake Bleeding ,MS4-LFM-1/4-BRM-DA 536818 FINE FILTER,,2,Festo Air Unit on Door,12678,0,0,,
58,Brake Bleeding ,ES20010656 VANE TRIVAC D16B 2 PIECES,OERLIKON,5,Vacuum pump VANE D16BDOT pump,11727,1,1,,
59,Brake Bleeding ,EK110002100 MAJOR MAINTENANCE KIT D16B,OERLIKON,5,D16B Seal Kit,17199,2,2,,
60,Brake Bleeding ,31251TE D16T 3PH WIDE RANGE MOTOR LVO100,OERLIKON,5,Motor,17200,1,1,,
61,Brake Bleeding ,EK88819725 REPAIR KIT D16T,OERLIKON,5,D16T Seal Kit,17201,,0,,
62,Brake Bleeding ,M0310029.01 LOCATOR,DURR,1,Locator,18091,0,0,,
63,Brake Bleeding ,M0310033.01 BALL PIECE,DURR,1,Levelling pin ball piece,18095,0,0,,
64,Brake Bleeding ,M0112369.01 ADAPTER HEAD PLATE,DURR,1,Plate head,18094,0,0,,
65,Brake Bleeding ,M0118062.01 P-SEALING UNIT XGV-2000-000D,DURR,1,Vacuum valve,16549,1,1,,
66,Brake Bleeding ,M0310030.01 CLAMPING CLAWS,DURR,1,Clamoing claw,18090,0,0,,
67,Brake Bleeding ,M0112263.01 TUBE 414-5010:016 AD-ST,DURR,1,Tube,16538,0,0,,
68,Brake Bleeding ,M0310129.01 GUIDE CONE,DURR,1,Guide cone,18093,0,0,,
69,Brake Bleeding ,M0126484.01 LOCKING RING,DURR,1,"Locking ring
Circlip",18092,0,0,,
70,Brake Bleeding ,M0115490.01 PISTON SEAL 12.0X9.1X2.4 T24,DURR,1,Piston seal,16536,0,0,,
