material no.,description,bin no.,val.stock,max.price,value,uom,storage loc
6113419343,DIA 10.3 SC DRILL SEFAS B343S10300HPG,,0,,0,NOS,1060
6113810670,INSERT TCMT 090204,,0,,0,NOS,1060
6113910670,DIA 14.5X17X40 COMB TOOL,,0,,0,NOS,1060
6114010670,DIA 32 COMB BORING BAR,,0,,0,NOS,1060
6114110670,MICRO BORE L148C-110602,,0,,0,NOS,1060
6114219343,GUN DRILL DIA 6X250 OAL,,0,,0,NOS,1060
6114419343,INSERT-SPMX090304AP,,0,,0,NOS,1060
6114519343,REAMER DIA12,,0,,0,NOS,1060
6115419343,INSERT CTXW 09T304 F01LD,,0,,0,NOS,1060
6115710670,SC TCH LUGGED DRILL 16 x70FLX135 OAL20S,,0,,0,NOS,1060
6115919343,ROUGH BORING DIA 27.7 X CHF,,0,,0,NOS,1060
6116520057,SC DRILL 8.2 MM R840-0820-50 AOA 1220,,0,,0,NOS,1060
6116820057,SC DRILL DIA 14 x FL 120 SH16 x180 OAL,,0,,0,NOS,1060
6117000000,Clamping Screw 5513 020-58,,0,,0,NOS,1060
6117010670,SC TCH LUGGED DRILL 16.5x100FLX160 L20S,,0,,0,NOS,1060
7200710000,INSERT SCMT 120408 HK1500,,0,,0,NOS,1060
901004,SHORT CLAMPING HOLDER -D4065131,,0,,0,NOS,1060
901024,INSERT SCREW  R390-5513-020-25,,0,,0,NOS,1060
901025,SCREW FOR LCMX U DRILL-5513-020-33,,0,,0,NOS,1060
901028,Insert HEEN 090408 - TT6030 for 304 cut,,0,,0,NOS,1060
901038,INSERT CCGW 060204 SBQ-KB500,,0,,0,NOS,1060
901039,SC GUN REAMER 9.02x280 KF10 3117509,,0,,0,NOS,1060
901043,CARTRIDGE FOR VALVE SEAT,,0,,0,NOS,1060
901046,TIN WELD 500G PACK,,0,,0,NOS,1060
901047,INSERT W433594 FOR CAM BORE,,0,,0,NOS,1060
901048,CUTTER BODY Ø 57  W439884,,0,,0,NOS,1060
901049,INSERT TPMT 160304 HQ,,0,,0,NOS,1060
901050,CARTRIDGE PTFNR 12CA16,,0,,0,NOS,1060
901051,INSERT TNMG 160408-KM,,0,,0,NOS,1060
901053,INSERT CCMW 060204F DR,,0,,0,NOS,1060
901054,TPMT 110304-CR,,0,,0,NOS,1060
CB0100,Corrugated box - 100 ltrs fuel tank,,0,,0,NOS,1060
F1ZL0331,HAND GLOVES COTTON KNITTED,,0,,0,PAA,1060
F1ZL0332,LINT FREE HAND GLOVES PU ART-NYPD,,"14,008.00",,"290,666.00",PAA,1060
IA304625,HUB REAR WHEELABS,,0,,0,NOS,1060
IC332208,BRAKE LINING (410X160),,0,,0,NOS,1060
IC332210,BRAKE LINING (410X180) TVS/TS/2,,0,,0,NOS,1060
ID206974,MICRO SUPER FILTER INSERT STAR (HCV),,0,,0,NOS,1060
ID500923,AIR INTAKE BEND,,0,,0,NOS,1060
ID505126,POWER STEERING PULLEY 6PK,,0,,0,NOS,1060
ID603085,MONOTRON PROP SHAFT,,0,,0,NOS,1060
IE310806,FRONT HEIGHT MARKER LAMP RH,,0,,0,NOS,1060
IE312601,FRONT HEIGHT MARKER LAMP LH,,0,,0,NOS,1060
IE329487,REAR CHASSIS HARNESS,,0,,0,NOS,1060
IE333452,EATS wiring harness,,0,,0,NOS,1060
IH301841,AC ROUTINGS SUPPORT BKT. ASSY,,0,,0,NOS,1060
IP312052,Inst Drawing For 16 cum BB,,0,,0,NOS,1060
IU310847,WINDOW FINISHER VERTICAL TRIM,,0,,0,NOS,1060
IU310877,EMER DOOR ABS TRIM,,0,,0,NOS,1060
IU312906,EMER DOOR ABSLOWER TRIM REAR,,0,,0,NOS,1060
IU312909,EMER DOOR ABS TOP TRIM,,0,,0,NOS,1060
IU312911,EMER DOOR ABS LOWR TRIM,,0,,0,NOS,1060
IU312974,EMER DOOR ABSTRIM REAR,,0,,0,NOS,1060
IU312980,WINDOW TRIM HORIZONTAL TOP,,0,,0,NOS,1060
IU312985,HORIZONTAL ABS TRIMREAR,,0,,0,NOS,1060
IU313004,C' VERTICAL PILLAR ABS TRIM RH/LH,,0,,0,NOS,1060
IU313010,PASSENGER DOOR B PILLAR TRIM,,0,,0,NOS,1060
IU313300,SIDE PASTED GLASS EMG WINDOW,,0,,0,NOS,1060
IU313760,SIDE PASTED GLASSPASS DOOR,,0,,0,NOS,1060
IU313761,SIDE PASTED GLASSDRIVER SIDE,,0,,0,NOS,1060
IU314238,DASHBOARD ASSY,,0,,0,NOS,1060
IU319226,PANEL TRIM EMER. DOOR,,0,,0,NOS,1060
IU319265,LH C PILLLAR,,0,,0,NOS,1060
IU319599,REAR WIND SHILED,,0,,0,NOS,1060
IU319706,ASSY REAR FRP PANEL,,0,,0,NOS,1060
IU319728,"ASSY., REAR BUMPER",,0,,0,NOS,1060
IU319814,B' PILLAR TRIM DRIVER DOOR,,0,,0,NOS,1060
IU320574,HATRACK SUPPORT PILLER,,0,,0,NOS,1060
IU320588,GSL BOOT  COVER ASSY,,0,,0,NOS,1060
IU320597,HATRACK END COVER,,0,,0,NOS,1060
IU320610,HATRACK END COVER,,0,,0,NOS,1060
IU320627,PASS UPPER DOOR ABS TRIM,,0,,0,NOS,1060
IU321400,PASS UPPER DOOR ABS TRIM,,0,,0,NOS,1060
IU322342,STEP FRP,,0,,0,NOS,1060
IU322352,FRONT BUMPER  ASSY,,0,,0,NOS,1060
IU324109,FRONT WINDSHIELD,,0,,0,NOS,1060
IU324229,WHEEL ARCHREAR LH/RH,,0,,0,NOS,1060
IU324391,WHEEL ARCH FR-LH,,0,,0,NOS,1060
IU324431,WHEEL ARCH FR-RH,,0,,0,NOS,1060
IU325122,FRONT PANEL,,0,,0,NOS,1060
IU325248,DASHBOARD GLOW BOX COVER,,0,,0,NOS,1060
IU325312,DASHBOARD ECU,,0,,0,NOS,1060
IU325313,DASHBOARD ECU COVER,,0,,0,NOS,1060
IU325362,WINDOW REGULATOR ASSY,,0,,0,NOS,1060
IU325640,TR HATCHFRP ASSY,,0,,0,NOS,1060
IU325659,DASHBOARD DRIVER LEG COVER,,0,,0,NOS,1060
IU325668,APILLAR LH,,0,,0,NOS,1060
IU325687,DRIVER FLOOR UPPER ABS,,0,,0,NOS,1060
IU325688,DRIVER FLOOR UPPER ABS,,0,,0,NOS,1060
IU325690,DRIVER FLOOR ABS,,0,,0,NOS,1060
IU325700,GLASS,,0,,0,NOS,1060
IU325741,Fix Window Glass,,0,,0,NOS,1060
IU325748,Driver Door TrimBOTTOM,,0,,0,NOS,1060
IU325750,HATRACK SUPPORT ASSY,,0,,0,NOS,1060
IU325751,HATRACK SUPPORT ASSY,,0,,0,NOS,1060
IU325799,APILLAR RH,,0,,0,NOS,1060
IU326073,SIDE PASTED GLASS RR RH WINDOW,,0,,0,NOS,1060
IU326074,SIDE PASTED GLASS RR  LH WINDOW,,0,,0,NOS,1060
IU326161,EMER DOOR ABS TRIM-10.75H,,0,,0,NOS,1060
IU326181,HORIZONTAL ABS TRIM REAR,,0,,0,NOS,1060
IU326258,WINDOW TRIM HORIZONTAL TOP,,0,,0,NOS,1060
MES12327,MASTER PLC PANEL G1,,1,,0,NOS,1060
MES12328,SLAVE 1 S7300  PANEL G2,,1,,0,NOS,1060
MES12329,SLAVE 4 IM151-8  PANEL G5,,1,,0,NOS,1060
MES12330,SLAVE 5 IM151-8  PANEL G6,,1,,0,NOS,1060
MES12331,SLAVE 6 PANEL G7,,1,,0,NOS,1060
MES12332,SLAVE 7 PANEL G8,,1,,0,NOS,1060
MES12333,SLAVE 8 PANEL G9,,1,,0,NOS,1060
MES12334,SLAVE 9 PANEL G10,,1,,0,NOS,1060
MES12335,SOFTWARE SIEMENS,,1,,0,NOS,1060
MES12336,ADDITIONAL I/O CARD FOR LOGO PLC REPLAC,,1,,0,NOS,1060
PEPM 76,Print Head ZT 230,,0,,0,NOS,1060
PEPM103,FREQUENCY INVERTER,,0,,0,NOS,1060
PEPM10493,Air operated diaphragm pump,,3,,0,NOS,1060
PEPM1091,CUTTER KTW-1476,,0,,0,NOS,1060
PEPM1111,CUTTING WHEEL,,100,,0,NOS,1060
PEPM1236,MULTI FUNCTION COUNTER 48X48MM,,0,,0,NOS,1060
PEPM168,"Air caliper , 2- offset jet for dia 35d",,0,,0,NOS,1060
PEPM4855,"HOLDER, 4-HD 19579 SA-HLD-0593",,0,,0,NOS,1060
PEPM6771,Black primer  ,,4,,0,L,1060
PEPM6772A,Hardner for primer,,0.95,,0,L,1060
PEPM6773,Top coat black,,4,,0,L,1060
PEPM6774,Thinner,,10,,0,L,1060
PEPM6775,Hardner for paint,,4,,0,L,1060
PEPM6819,Wooden Boxes,,5,,0,NOS,1060
PLE12360,VERTICAL MAST MODEL: STAR-10 (HAULOTTE),,1,,0,NOS,1060
10509,EMER TUBE STEEL PVC COATED 6MMx6M,0,0,,0,NOS,1060
752,0173900 Spring for accelerator pedal,0,0,,0,NOS,1060
901020,INSERT SCREW N0057511 KOMET,0,0,,0,NOS,1060
296,4058965 WATER FILTER,1000DG,0,,0,NOS,1060
297,4055817 TANK EXPANSION,1000DG,1,,"35,183.96",NOS,1060
300,3231493 GASKET,1000DG,0,,0,NOS,1060
304,3231497 GASKET,1000DG,0,,0,NOS,1060
305,3872284 COUPLING ASSY.,1000DG,2,,"1,032.52",NOS,1060
306,3872294 FLEX. COUPLING,1000DG,4,,"12,477.12",NOS,1060
307,504385 CAP RADIATOR,1000DG,1,,"1,035.56",NOS,1060
860,RECTIFIER 26V (30AMP) IR MAKE,1000DG,0,,0,NOS,1060
100333,3414934 SLO BYPASS FILTER,1000DG,1,,"3,648.53",NOS,1060
100334,176307 COCK,1000DG,0,,0,NOS,1060
100340,3233194 CLAMP,1000DG,0,,0,NOS,1060
100348,4055963 CONN EXH OUTLET,1000DG,3,,"80,343.06",NOS,1060
100350,S 910 B PLUG,1000DG,0,,0,NOS,1060
100423,3229946 GASKET,1000DG,0,,0,NOS,1060
10255,3413905 CONTROL GOVERNOR,1000DG,0,,0,NOS,1060
10578,3237341 TUBE,1000DG,0,,0,NOS,1060
10579,206460 GASKET,1000DG,0,,0,NOS,1060
10625,3035110 EXH.VALVE,1000DG,0,,0,NOS,1060
10626,"3086193 INSERT,INT.VALVE",1000DG,0,,0,NOS,1060
10627,3086192 INSERT VALVE,1000DG,0,,0,NOS,1060
10628,3202210 GUIDE VALVE,1000DG,0,,0,NOS,1060
10629,205091 COLLET VALVE,1000DG,0,,0,NOS,1060
10630,3545647 TURBO REPAIR KIT,1000DG,0,,0,NOS,1060
10631,"3045002 PLUG, INJECTOR ORIFICE",1000DG,0,,0,NOS,1060
10632,174299 CLIP INJ FILTER SCREEN,1000DG,0,,0,NOS,1060
10633,3054999 SCREEN INJECTOR,1000DG,0,,0,NOS,1060
10634,167157 BALL CHECK,1000DG,0,,0,NOS,1060
